Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,Total Peajes,Eficiencia (km/l),TipoUnidad,Ruta Frecuente,Ruta
1628,1412981.28,27777789.707184,19.676172374999982,216688,15853.28,128.26572300812228,0.0,0.15335518103962426,Poca actividad,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1630,288.0,5579.34912,19.37274,96,0.0,58.11822,0.0,0.3333333333333333,Poca actividad,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1633,6995.17,134912.570052,19.286532,1060,0.0,127.27600948301887,0.0,0.15153312928777998,Poca actividad,"TULTITLAN,EM → CUAUTITLAN,EM/","TULTITLAN,EM → CUAUTITLAN,EM/"
1635,458.0,8872.71492,19.37274,36,0.0,246.46430333333333,0.0,0.07860262008733625,Poca actividad,"TULTITLAN,EM → CUAUTITLAN,EM/","TULTITLAN,EM → CUAUTITLAN,EM/"
1639,1322791.05,25969402.656039,19.656380615384602,147277,16115.91,176.43976022080162,0.0,0.11133806809473046,Poca actividad,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1640,549960.45,10775576.593335,19.606576799999978,89040,0.0,121.01950351903639,0.0,0.161902551356193,Poca actividad,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1641,554997.12,10869474.3296028,19.663893222222224,80316,19003.97,135.57047536733404,0.0,0.1447142644632102,Poca actividad,"TULTITLAN,EM → TULTITLAN,EM","TULTITLAN,EM → TULTITLAN,EM"
1649,1159789.86,22647880.411248,19.535417374999987,111056,15804.16,204.0743820347212,0.0,0.0957552775983056,Poca actividad,"TULTITLAN,EM → CUAUTITLAN,EM/","TULTITLAN,EM → CUAUTITLAN,EM/"
1665,111846.62,2187338.723235,19.583852200000003,125560,14974.38,17.539925957589997,0.0,1.1226088012315438,Poca actividad,"QUERETARO,QA → QUERETARO,QA","QUERETARO,QA → QUERETARO,QA"
1670,5152.0,99726.82405,19.621886999999997,1790,61288.51,89.95270058659219,0.0,0.34743788819875776,Poca actividad,"MONTERREY,NX → MONTERREY,NX","MONTERREY,NX → MONTERREY,NX"
1682,405230.7,10024899.156426,24.166650833333332,65592,67512.43,153.86650180549455,0.0,0.1618633533935114,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,0.0,0.5569012454868104,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,0.0,0.6590127459406958,Poca actividad,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,0.0,0.5524370668505411,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,0.0,0.5663037795969437,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1693,643066.02,12550926.351375,19.525013333333316,112212,0.0,111.8501261128489,0.0,0.17449530298615373,Poca actividad,"TULTITLAN,EM → CUAUTITLAN,EM/","TULTITLAN,EM → CUAUTITLAN,EM/"
1695,1380683.9,27172170.45821,19.723293279069765,780880,102315.41,34.927883757056144,0.0,0.565574785075715,Poca actividad,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1697,3436043.4899999998,67188345.331635,19.587639934782604,1511008,199592.03,44.598001705904274,0.0,0.4397522919594944,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1698,4543.32,87904.83045119999,19.33955225,7712,0.0,11.398447931950207,0.0,1.6974371164698945,Poca actividad,"APASEO EL ALTO,GJ → TEXAS CITY,TX","APASEO EL ALTO,GJ → TEXAS CITY,TX"
1701,1985257.54,42328255.853042,21.513116828124996,3186752,83341.03,13.308722135591976,0.0,1.6052083600196274,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1704,3778258.58,74111969.407722,19.601775014285717,2365790,57536.579999999994,31.350840940118097,0.0,0.6261588374398662,Actividad media,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM","TEPOTZOTLAN,EM → TEPOTZOTLAN,EM"
1705,2250332.63,46492253.343991,20.721643354838708,2980898,99699.58,15.630173499392127,0.0,1.3246477255231375,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
1711,248963.12,5142891.882212,20.524472833333334,217404,100.0,23.65638112551747,0.0,0.8732377711204776,Poca actividad,"TECAMAC,EM → IZTAPALAPA,DF","TECAMAC,EM → IZTAPALAPA,DF"
1712,298156.48,6224532.190144,21.128840444444446,601722,62280.33,10.448035006438188,0.0,2.0181416147655087,Poca actividad,"TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ","TLALNEPANTLA,EM/ → APASEO EL ALTO,GJ"
1714,305390.88,7799988.0983,25.760429416666668,72456,110553.09,109.17717219139891,0.0,0.23725659391007353,Poca actividad,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH","TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH"
1715,2423234.24,50513259.2301092,20.9816204375,3219392,78154.64,15.714586440579215,0.0,1.3285517127721007,Actividad media,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH","VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH"
