Unidad,Litros,Gasto Combustible,Costo por litro,Kms Totales,Gasto Mantenimiento,CPK,TipoUnidad,Proyecto,Mes,TipoRuta
1628,1412981.28,27777789.707184,19.676172374999982,216688,15853.28,128.26572300812228,Poca actividad,LIVERPOOL,10,Corta
1628,1412981.28,27777789.707184,19.676172374999982,216688,15853.28,128.26572300812228,Poca actividad,LIVERPOOL,11,Corta
1630,288.0,5579.34912,19.37274,96,,58.11822,Poca actividad,LIVERPOOL,10,Corta
1633,6995.17,134912.570052,19.286532,1060,,127.27600948301887,Poca actividad,LIVERPOOL,10,Corta
1635,458.0,8872.71492,19.37274,36,,246.46430333333333,Poca actividad,LIVERPOOL,10,Corta
1639,1322791.05,25969402.656039,19.656380615384602,147277,16115.91,176.43976022080162,Poca actividad,LIVERPOOL,10,Corta
1639,1322791.05,25969402.656039,19.656380615384602,147277,16115.91,176.43976022080162,Poca actividad,LIVERPOOL,11,Corta
1640,549960.45,10775576.593335,19.606576799999978,89040,,121.01950351903639,Poca actividad,LIVERPOOL,10,Corta
1640,549960.45,10775576.593335,19.606576799999978,89040,,121.01950351903639,Poca actividad,LIVERPOOL,11,Corta
1641,554997.12,10869474.3296028,19.663893222222224,80316,19003.97,135.57047536733404,Poca actividad,LIVERPOOL,10,Corta
1641,554997.12,10869474.3296028,19.663893222222224,80316,19003.97,135.57047536733404,Poca actividad,LIVERPOOL,11,Corta
1649,1159789.86,22647880.411248,19.535417374999987,111056,15804.16,204.0743820347212,Poca actividad,LIVERPOOL,10,Corta
1649,1159789.86,22647880.411248,19.535417374999987,111056,15804.16,204.0743820347212,Poca actividad,LIVERPOOL,11,Corta
1665,111846.62,2187338.723235,19.583852200000003,125560,14974.38,17.539925957589997,Poca actividad,PROTRANS,10,Larga
1665,111846.62,2187338.723235,19.583852200000003,125560,14974.38,17.539925957589997,Poca actividad,PROTRANS,11,Larga
1670,5152.0,99726.82405,19.621886999999997,1790,61288.51,89.95270058659219,Poca actividad,CRISA LIB,12,Media
1682,405230.7,10024899.156426,24.166650833333332,65592,67512.43,153.86650180549455,Poca actividad,WALMAR VH,10,Larga
1682,405230.7,10024899.156426,24.166650833333332,65592,67512.43,153.86650180549455,Poca actividad,WALMAR VH,11,Larga
1682,405230.7,10024899.156426,24.166650833333332,65592,67512.43,153.86650180549455,Poca actividad,WALMAR VH,12,Larga
1682,405230.7,10024899.156426,24.166650833333332,65592,67512.43,153.86650180549455,Poca actividad,WALMAR VH,1,Larga
1682,405230.7,10024899.156426,24.166650833333332,65592,67512.43,153.86650180549455,Poca actividad,WALMAR VH,2,Larga
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,Actividad media,PILGRIMS TEPO,10,Corta
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,Actividad media,PILGRIMS TEPO,11,Corta
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,Actividad media,PILGRIMS TEPO,12,Corta
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,Actividad media,PILGRIMS TEPO,1,Corta
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,Actividad media,PILGRIMS TEPO,2,Corta
1683,3868721.82,75845247.727753,19.614447921874994,2154496,168415.58,35.28141305797411,Actividad media,PILGRIMS TEPO,3,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PILGRIMS TEPO,10,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PILGRIMS TEPO,11,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PILGRIMS TEPO,12,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PILGRIMS TEPO,1,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PILGRIMS TEPO,2,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PEÑAFIEL TECAMAC,10,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PEÑAFIEL TECAMAC,11,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PEÑAFIEL TECAMAC,12,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PEÑAFIEL TECAMAC,1,Corta
1685,1193145.3599999999,23376275.546205,19.591221707317068,786298,213741.21,30.001369399648734,Poca actividad,PEÑAFIEL TECAMAC,2,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PILGRIMS TEPO,10,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PILGRIMS TEPO,11,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PILGRIMS TEPO,12,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PILGRIMS TEPO,1,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PILGRIMS TEPO,2,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PILGRIMS TEPO,3,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PEÑAFIEL TECAMAC,10,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PEÑAFIEL TECAMAC,11,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PEÑAFIEL TECAMAC,12,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PEÑAFIEL TECAMAC,1,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PEÑAFIEL TECAMAC,2,Corta
1688,5034698.37,98465968.065699,19.588723507042253,2781354,113067.64,35.44282234684941,Actividad media,PEÑAFIEL TECAMAC,3,Corta
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,Actividad media,PILGRIMS TEPO,10,Corta
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,Actividad media,PILGRIMS TEPO,11,Corta
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,Actividad media,PILGRIMS TEPO,12,Corta
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,Actividad media,PILGRIMS TEPO,1,Corta
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,Actividad media,PILGRIMS TEPO,2,Corta
1689,6023480.9,118012584.626742,19.60825055,3411120,118314.97,34.631118106880436,Actividad media,PILGRIMS TEPO,3,Corta
1693,643066.02,12550926.351375,19.525013333333316,112212,,111.8501261128489,Poca actividad,LIVERPOOL,10,Corta
1693,643066.02,12550926.351375,19.525013333333316,112212,,111.8501261128489,Poca actividad,LIVERPOOL,11,Corta
1695,1380683.9,27172170.45821,19.723293279069765,780880,102315.41,34.927883757056144,Poca actividad,PILGRIMS TEPO,10,Corta
1695,1380683.9,27172170.45821,19.723293279069765,780880,102315.41,34.927883757056144,Poca actividad,PILGRIMS TEPO,11,Corta
1695,1380683.9,27172170.45821,19.723293279069765,780880,102315.41,34.927883757056144,Poca actividad,PILGRIMS TEPO,12,Corta
1695,1380683.9,27172170.45821,19.723293279069765,780880,102315.41,34.927883757056144,Poca actividad,PILGRIMS TEPO,1,Corta
1697,3436043.4899999998,67188345.331635,19.587639934782604,1511008,199592.03,44.598001705904274,Actividad media,PILGRIMS TEPO,10,Corta
1697,3436043.4899999998,67188345.331635,19.587639934782604,1511008,199592.03,44.598001705904274,Actividad media,PILGRIMS TEPO,11,Corta
