Ruta,cantidad_unidades,unidades
"JILOTEPEC,EM → TULTITLAN,EM",80,"1628, 1633, 1639, 1640, 1641, 1649, 1693, 1718, 1724, 1727, 1733, 1740, 1743, 1748, 1749, 1751, 1752, 1759, 1762, 1777, 1783, 1788, 1802, 1807, 1809, 1810, 1823, 1827, 1829, 1831, 1832, 1833, 1837, 1838, 1839, 1848, 1849, 1852, 1855, 1864, 1865, 1874, 1877, 1879, 1880, 1881, 1884, 1885, 1886, 1887, 1892, 1897, 1898, 1899, 1907, 1909, 1931, 1933, 1934, 1935, 1936, 1939, 1947, 1948, 1955, 1958, 1959, 1976, 2002, 2003, 2034, 2035, 2036, 2037, 2040, 2042, 2043, 2045, 2046, 2047"
"TULTITLAN,EM → TULTITLAN,EM",73,"1628, 1630, 1633, 1639, 1640, 1641, 1649, 1693, 1718, 1724, 1727, 1733, 1741, 1743, 1748, 1749, 1751, 1752, 1759, 1762, 1765, 1777, 1783, 1788, 1802, 1807, 1809, 1823, 1825, 1827, 1828, 1829, 1831, 1832, 1833, 1836, 1837, 1838, 1839, 1855, 1859, 1864, 1880, 1881, 1883, 1884, 1885, 1892, 1893, 1896, 1897, 1899, 1900, 1901, 1939, 1955, 1958, 1959, 1965, 2034, 2035, 2036, 2037, 2040, 2042, 2043, 2045, 2046, 2047, DC01, DC02, DC04, DC05"
"TULTITLAN,EM → JILOTEPEC,EM",65,"1628, 1633, 1639, 1640, 1641, 1649, 1693, 1718, 1724, 1727, 1733, 1741, 1743, 1748, 1749, 1751, 1752, 1759, 1777, 1783, 1788, 1789, 1793, 1802, 1807, 1809, 1823, 1827, 1831, 1832, 1833, 1836, 1837, 1838, 1839, 1850, 1854, 1855, 1864, 1884, 1885, 1892, 1893, 1896, 1897, 1898, 1899, 1900, 1939, 1958, 1959, 1976, 1983, 2002, 2003, 2034, 2035, 2036, 2037, 2040, 2042, 2043, 2045, 2046, 2047"
"CUAUTITLAN IZCALLI,EM → CUAUTITLAN IZCALLI,EM",62,"1905, 1910, 1912, 1916, 1917, 1918, 1919, 1920, 1922, 1923, 1926, 1927, 1928, 1941, 1942, 1944, 1945, 1946, 1949, 1950, 1952, 1953, 1954, 1956, 1960, 1963, 1964, 1976, 1977, 1980, 1983, 1985, 1989, 1990, 1993, 1994, 2003, 2004, 2007, 2010, 2011, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2023, 2025, 2026, 2028, 2039, 2086, 2087, 2088, 2090, 2093, 2101, 2103, 2104, 2105"
"TULTITLAN,EM → CUAUTITLAN,EM/",50,"1628, 1633, 1635, 1639, 1640, 1641, 1649, 1693, 1718, 1724, 1727, 1733, 1743, 1748, 1749, 1750, 1751, 1752, 1759, 1777, 1783, 1788, 1802, 1807, 1823, 1831, 1832, 1833, 1837, 1838, 1839, 1848, 1864, 1873, 1884, 1885, 1900, 1958, 1959, 2026, 2034, 2035, 2036, 2037, 2040, 2042, 2043, 2045, 2046, 2047"
"TULTITLAN,EM → MEXICO D.F.,DF/MX",47,"1628, 1633, 1639, 1640, 1641, 1649, 1693, 1724, 1727, 1728, 1733, 1743, 1748, 1749, 1751, 1752, 1759, 1777, 1783, 1788, 1802, 1807, 1823, 1831, 1832, 1833, 1837, 1838, 1839, 1864, 1884, 1885, 1887, 1892, 1900, 2003, 2034, 2035, 2036, 2037, 2040, 2042, 2043, 2045, 2046, 2047, 2049"
"CUAUTITLAN,EM → EL SALTO,JA",46,"1889, 1930, 1942, 1945, 1946, 1949, 1950, 1951, 1952, 1954, 1956, 1957, 1960, 1961, 1963, 1964, 1974, 1976, 1977, 1978, 1979, 1980, 1981, 1982, 1983, 1984, 1987, 1988, 1990, 1992, 1994, 1995, 1996, 2003, 2004, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2038, 2087"
"DELEG. ALVARO OBRE,DF/MEX → TULTITLAN,EM",45,"1628, 1639, 1640, 1641, 1649, 1693, 1718, 1724, 1727, 1733, 1743, 1748, 1749, 1751, 1752, 1759, 1777, 1783, 1788, 1802, 1807, 1823, 1831, 1832, 1833, 1837, 1838, 1839, 1848, 1855, 1864, 1865, 1884, 1885, 1959, 2034, 2035, 2036, 2037, 2040, 2042, 2043, 2045, 2046, 2047"
"CUAUTITLAN IZCALLI,EM → QUERETARO,QA",44,"1910, 1917, 1918, 1919, 1922, 1924, 1925, 1926, 1927, 1928, 1930, 1941, 1942, 1944, 1946, 1949, 1950, 1951, 1952, 1953, 1960, 1961, 1964, 1976, 1977, 1978, 1980, 1981, 1983, 1984, 1986, 1989, 1990, 1994, 2004, 2010, 2015, 2017, 2086, 2088, 2090, 2095, 2104, 2108"
"TULTITLAN,EM → CULIACAN,SI/",43,"1741, 1762, 1765, 1774, 1789, 1793, 1810, 1821, 1825, 1828, 1829, 1847, 1849, 1850, 1852, 1854, 1855, 1858, 1859, 1869, 1871, 1873, 1877, 1878, 1879, 1880, 1883, 1886, 1888, 1891, 1896, 1909, 1931, 1932, 1933, 1934, 1936, 1937, 1943, 1947, 1955, 1965, 2091"
"TLALNEPANTLA,EM → QUERETARO,QA",43,"1904, 1905, 1906, 1910, 1916, 1917, 1918, 1923, 1926, 1927, 1928, 1930, 1937, 1941, 1942, 1944, 1945, 1946, 1949, 1950, 1951, 1952, 1953, 1956, 1961, 1964, 1976, 1977, 1978, 1980, 1981, 1983, 1987, 1988, 1989, 1990, 2002, 2004, 2007, 2010, 2016, 2086, 2108"
