Unidad,Ruta,ViajesUnidadRuta,TotalViajesUnidad,PorcentajeRutaUnidad
1628,"CUAUTITLAN,EM/ → JILOTEPEC,EM",16,3456,0.46296296296296297
1628,"DELEG. ALVARO OBRE,DF/MEX → CUAUTITLAN,EM/",16,3456,0.46296296296296297
1628,"DELEG. ALVARO OBRE,DF/MEX → JILOTEPEC,EM",144,3456,4.166666666666667
1628,"DELEG. ALVARO OBRE,DF/MEX → TULTITLAN,EM",416,3456,12.037037037037036
1628,"JILOTEPEC,EM → DELEG. ALVARO OBRE,DF/MEX",624,3456,18.055555555555557
1628,"JILOTEPEC,EM → TLALNEPANTLA,EM",48,3456,1.3888888888888888
1628,"JILOTEPEC,EM → TULTITLAN,EM",192,3456,5.555555555555555
1628,"TLALNEPANTLA,EM → TULTITLAN,EM",32,3456,0.9259259259259259
1628,"TOLUCA,EM → JILOTEPEC,EM",16,3456,0.46296296296296297
1628,"TULTITLAN,EM → CUAUTITLAN IZCALLI,EM",32,3456,0.9259259259259259
1628,"TULTITLAN,EM → CUAUTITLAN,EM/",272,3456,7.87037037037037
1628,"TULTITLAN,EM → DELEG. ALVARO OBRE,DF/MEX",80,3456,2.314814814814815
1628,"TULTITLAN,EM → JILOTEPEC,EM",640,3456,18.51851851851852
1628,"TULTITLAN,EM → MEXICO D.F.,DF/MX",240,3456,6.944444444444445
1628,"TULTITLAN,EM → TLALNEPANTLA,EM",16,3456,0.46296296296296297
1628,"TULTITLAN,EM → TULTITLAN,EM",672,3456,19.444444444444443
1630,"TULTITLAN,EM → TULTITLAN,EM",2,2,100.0
1633,"JILOTEPEC,EM → TULTITLAN,EM",2,26,7.6923076923076925
1633,"TULTITLAN,EM → CUAUTITLAN IZCALLI,EM",4,26,15.384615384615385
1633,"TULTITLAN,EM → CUAUTITLAN,EM/",8,26,30.76923076923077
1633,"TULTITLAN,EM → JILOTEPEC,EM",2,26,7.6923076923076925
1633,"TULTITLAN,EM → MEXICO D.F.,DF/MX",4,26,15.384615384615385
1633,"TULTITLAN,EM → TULTITLAN,EM",6,26,23.076923076923077
1635,"TULTITLAN,EM → CUAUTITLAN,EM/",1,1,100.0
1639,"CUAUTITLAN,EM/ → JILOTEPEC,EM",13,2613,0.4975124378109453
1639,"DELEG. ALVARO OBRE,DF/MEX → JILOTEPEC,EM",13,2613,0.4975124378109453
1639,"DELEG. ALVARO OBRE,DF/MEX → TULTITLAN,EM",143,2613,5.472636815920398
1639,"JILOTEPEC,EM → DELEG. ALVARO OBRE,DF/MEX",169,2613,6.467661691542289
1639,"JILOTEPEC,EM → TLALNEPANTLA,EM",78,2613,2.985074626865672
1639,"JILOTEPEC,EM → TULTITLAN,EM",156,2613,5.970149253731344
1639,"TLALNEPANTLA,EM → JILOTEPEC,EM",39,2613,1.492537313432836
1639,"TLALNEPANTLA,EM → TULTITLAN,EM",52,2613,1.9900497512437811
1639,"TULTITLAN,EM → CUAUTITLAN,EM/",650,2613,24.875621890547265
1639,"TULTITLAN,EM → DELEG. ALVARO OBRE,DF/MEX",39,2613,1.492537313432836
1639,"TULTITLAN,EM → JILOTEPEC,EM",403,2613,15.422885572139304
1639,"TULTITLAN,EM → MEXICO D.F.,DF/MX",182,2613,6.965174129353234
1639,"TULTITLAN,EM → TLALNEPANTLA,EM",13,2613,0.4975124378109453
1639,"TULTITLAN,EM → TULTITLAN,EM",663,2613,25.37313432835821
1640,"CUAUTITLAN,EM/ → JILOTEPEC,EM",10,1390,0.7194244604316546
1640,"DELEG. ALVARO OBRE,DF/MEX → JILOTEPEC,EM",50,1390,3.597122302158273
1640,"DELEG. ALVARO OBRE,DF/MEX → TULTITLAN,EM",60,1390,4.316546762589928
1640,"JILOTEPEC,EM → DELEG. ALVARO OBRE,DF/MEX",140,1390,10.071942446043165
1640,"JILOTEPEC,EM → TLALNEPANTLA,EM",50,1390,3.597122302158273
1640,"JILOTEPEC,EM → TULTITLAN,EM",60,1390,4.316546762589928
1640,"TLALNEPANTLA,EM → JILOTEPEC,EM",10,1390,0.7194244604316546
1640,"TLALNEPANTLA,EM → TULTITLAN,EM",30,1390,2.158273381294964
1640,"TOLUCA,EM → JILOTEPEC,EM",10,1390,0.7194244604316546
1640,"TULTITLAN,EM → CUAUTITLAN IZCALLI,EM",10,1390,0.7194244604316546
1640,"TULTITLAN,EM → CUAUTITLAN,EM/",250,1390,17.985611510791365
1640,"TULTITLAN,EM → DELEG. ALVARO OBRE,DF/MEX",20,1390,1.4388489208633093
1640,"TULTITLAN,EM → JILOTEPEC,EM",220,1390,15.827338129496402
1640,"TULTITLAN,EM → MEXICO D.F.,DF/MX",60,1390,4.316546762589928
1640,"TULTITLAN,EM → TLALNEPANTLA,EM",10,1390,0.7194244604316546
1640,"TULTITLAN,EM → TOLUCA,EM",10,1390,0.7194244604316546
1640,"TULTITLAN,EM → TULTITLAN,EM",390,1390,28.057553956834532
1641,"CUAUTITLAN,EM/ → DELEG. ALVARO OBRE,DF/MEX",9,1422,0.6329113924050633
1641,"CUAUTITLAN,EM/ → JILOTEPEC,EM",9,1422,0.6329113924050633
1641,"DELEG. ALVARO OBRE,DF/MEX → JILOTEPEC,EM",9,1422,0.6329113924050633
1641,"DELEG. ALVARO OBRE,DF/MEX → TULTITLAN,EM",54,1422,3.7974683544303796
1641,"JILOTEPEC,EM → DELEG. ALVARO OBRE,DF/MEX",90,1422,6.329113924050633
1641,"JILOTEPEC,EM → TLALNEPANTLA,EM",9,1422,0.6329113924050633
1641,"JILOTEPEC,EM → TULTITLAN,EM",36,1422,2.5316455696202533
1641,"TLALNEPANTLA,EM → TULTITLAN,EM",9,1422,0.6329113924050633
1641,"TULTITLAN,EM → CUAUTITLAN,EM/",450,1422,31.645569620253166
1641,"TULTITLAN,EM → JILOTEPEC,EM",108,1422,7.594936708860759
1641,"TULTITLAN,EM → MEXICO D.F.,DF/MX",144,1422,10.126582278481013
1641,"TULTITLAN,EM → TOLUCA,EM",9,1422,0.6329113924050633
1641,"TULTITLAN,EM → TULTITLAN,EM",486,1422,34.177215189873415
1649,"CUAUTITLAN,EM/ → JILOTEPEC,EM",24,2256,1.0638297872340425
1649,"DELEG. ALVARO OBRE,DF/MEX → JILOTEPEC,EM",8,2256,0.3546099290780142
1649,"DELEG. ALVARO OBRE,DF/MEX → TULTITLAN,EM",128,2256,5.673758865248227
1649,"JILOTEPEC,EM → DELEG. ALVARO OBRE,DF/MEX",96,2256,4.25531914893617
1649,"JILOTEPEC,EM → TLALNEPANTLA,EM",32,2256,1.4184397163120568
1649,"JILOTEPEC,EM → TULTITLAN,EM",88,2256,3.900709219858156
1649,"TLALNEPANTLA,EM → TULTITLAN,EM",32,2256,1.4184397163120568
1649,"TULTITLAN,EM → CUAUTITLAN,EM/",640,2256,28.368794326241133
1649,"TULTITLAN,EM → DELEG. ALVARO OBRE,DF/MEX",48,2256,2.127659574468085
1649,"TULTITLAN,EM → JILOTEPEC,EM",256,2256,11.347517730496454
1649,"TULTITLAN,EM → MEXICO D.F.,DF/MX",224,2256,9.929078014184396
1649,"TULTITLAN,EM → TLALNEPANTLA,EM",112,2256,4.964539007092198
1649,"TULTITLAN,EM → TULTITLAN,EM",568,2256,25.177304964539008
1665,"COLON,QA → QUERETARO,QA/MEX",10,290,3.4482758620689653
1665,"CORREGIDORA,QA → CORREGIDORA,QA",10,290,3.4482758620689653
1665,"CORREGIDORA,QA → QUERETARO,QA",10,290,3.4482758620689653
1665,"CORREGIDORA,QA → VILLA DE REYES,SL",10,290,3.4482758620689653
1665,"EL MARQUES,QA → CORREGIDORA,QA",20,290,6.896551724137931
1665,"EL MARQUES,QA → EL MARQUES,QA",10,290,3.4482758620689653
1665,"EL MARQUES,QA → QUERETARO,QA",40,290,13.793103448275861
1665,"EL MARQUES,QA → SAN JUAN DEL RIO,QA",10,290,3.4482758620689653
1665,"QUERETARO,QA → EL MARQUES,QA",20,290,6.896551724137931
1665,"QUERETARO,QA → QUERETARO,QA",70,290,24.137931034482758
1665,"QUERETARO,QA → QUERETARO,QA/MEX",10,290,3.4482758620689653
1665,"QUERETARO,QA → SAN JUAN DEL RIO,QA",30,290,10.344827586206897
1665,"QUERETARO,QA → VILLA DE REYES,SL",10,290,3.4482758620689653
1665,"SAN JUAN DEL RIO,QA → QUERETARO,QA",20,290,6.896551724137931
1665,"VILLA DE REYES,SL → QUERETARO,QA",10,290,3.4482758620689653
1670,"MONTERREY,NX → MONTERREY,NX",14,14,100.0
1682,"TUXTLA GUTIERREZ,CH → COMITAN DE DOMINGU,CH",36,1224,2.9411764705882355
1682,"TUXTLA GUTIERREZ,CH → FRONTERA COMALAPA,CH",12,1224,0.9803921568627451
1682,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH",804,1224,65.68627450980392
1682,"TUXTLA GUTIERREZ,CH → TUXTLA GUTIERREZ,CH/Mex",324,1224,26.470588235294116
1682,"TUXTLA GUTIERREZ,CH → VILLAHERMOSA,TA",24,1224,1.9607843137254901
1682,"VILLAHERMOSA,TA → TAPACHULA,CH",12,1224,0.9803921568627451
1682,"VILLAHERMOSA,TA → TUXTLA GUTIERREZ,CH",12,1224,0.9803921568627451
1683,"ATIZAPAN DE ZARAGO,EM → TEPOTZOTLAN,EM",192,19904,0.9646302250803859
1683,"ATIZAPAN DE ZARAGO,EM/Mex → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"CIUDAD DE MEXICO,CDMX → TEPOTZOTLAN,EM",640,19904,3.215434083601286
1683,"COYOACAN,DF → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"CUAJIMALPA DE MORE,CDMX → TEPOTZOTLAN,EM",256,19904,1.2861736334405145
1683,"CUAUTITLAN IZCALLI,EM → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"DELEG.AZCAPOTZALCO,CDMX → TEPOTZOTLAN,EM",256,19904,1.2861736334405145
1683,"DELEG.AZCAPOTZALCO,DF → TEPOTZOTLAN,EM",128,19904,0.6430868167202572
1683,"ECATEPEC DE MORELO,EM → TEPOTZOTLAN,EM",320,19904,1.607717041800643
1683,"ECATEPEC,EM → TEPOTZOTLAN,EM",128,19904,0.6430868167202572
1683,"GUSTAVO A. MADERO,DF → TEPOTZOTLAN,EM",128,19904,0.6430868167202572
1683,"HUEHUETOCA,EM → TEPOTZOTLAN,EM",192,19904,0.9646302250803859
1683,"IXTAPALUCA,EM → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"IZTAPALAPA,DF → TEPOTZOTLAN,EM",512,19904,2.572347266881029
1683,"MEXICO D.F.,DF/MX → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"MIGUEL HIDALGO,CDMX → TEPOTZOTLAN,EM",128,19904,0.6430868167202572
1683,"NAUCALPAN DEJUAREZ,EM → TEPOTZOTLAN,EM",128,19904,0.6430868167202572
1683,"NEZAHUALCOYOTL,EM → TEPOTZOTLAN,EM",384,19904,1.9292604501607717
1683,"TEPEJI DEL RIO,HG → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",14080,19904,70.73954983922829
1683,"TLAHUAC,DF → TEPOTZOTLAN,EM",192,19904,0.9646302250803859
1683,"TLALPAN,DF → TEPOTZOTLAN,EM",64,19904,0.3215434083601286
1683,"VENUSTIANO CARRANZ,CDMX → TEPOTZOTLAN,EM",1792,19904,9.003215434083602
1685,"ATIZAPAN DE ZARAGO,EM → TEPOTZOTLAN,EM",82,7503,1.092896174863388
1685,"CIUDAD DE MEXICO,CDMX → TEPOTZOTLAN,EM",82,7503,1.092896174863388
1685,"COYOACAN,DF → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"CUAJIMALPA DE MORE,CDMX → TEPOTZOTLAN,EM",82,7503,1.092896174863388
1685,"CUAUHTEMOC,DF → TEPOTZOTLAN,EM",123,7503,1.639344262295082
1685,"DELEG.AZCAPOTZALCO,CDMX → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"DELEG.AZCAPOTZALCO,DF → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"ECATEPEC DE MORELO,EM → TEPOTZOTLAN,EM",287,7503,3.8251366120218577
1685,"GUSTAVO A. MADERO,DF → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"IZTAPALAPA,DF → TEPOTZOTLAN,EM",164,7503,2.185792349726776
1685,"MIGUEL HIDALGO,CDMX → TEPOTZOTLAN,EM",82,7503,1.092896174863388
1685,"NAUCALPAN DEJUAREZ,EM → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"TECAMAC,EM → CUAUTITLAN,EM",41,7503,0.546448087431694
1685,"TEPEJI DEL RIO,HG → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",5330,7503,71.03825136612022
1685,"TLAHUAC,DF → TEPOTZOTLAN,EM",164,7503,2.185792349726776
1685,"TLALPAN,DF → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1685,"VENUSTIANO CARRANZ,CDMX → TEPOTZOTLAN,EM",738,7503,9.836065573770492
1685,"ZUMPANGO,EM → TEPOTZOTLAN,EM",41,7503,0.546448087431694
1688,"ATIZAPAN DE ZARAGO,EM → TEPOTZOTLAN,EM",213,24921,0.8547008547008547
1688,"CHIMALHUACAN,EM → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"CIUDAD DE MEXICO,CDMX → TEPOTZOTLAN,EM",639,24921,2.5641025641025643
1688,"CUAJIMALPA DE MORE,CDMX → TEPOTZOTLAN,EM",142,24921,0.5698005698005698
1688,"CUAUHTEMOC,DF → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"DELEG.AZCAPOTZALCO,CDMX → TEPOTZOTLAN,EM",568,24921,2.2792022792022792
1688,"DELEG.AZCAPOTZALCO,DF → TEPOTZOTLAN,EM",284,24921,1.1396011396011396
1688,"ECATEPEC DE MORELO,EM → TEPOTZOTLAN,EM",355,24921,1.4245014245014245
1688,"EL MARQUES,QA → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"GUSTAVO A. MADERO,DF → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"HUEHUETOCA,EM → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"IZTAPALAPA,DF → TEPOTZOTLAN,EM",426,24921,1.7094017094017093
1688,"MIGUEL HIDALGO,CDMX → TEPOTZOTLAN,EM",284,24921,1.1396011396011396
1688,"NAUCALPAN DEJUAREZ,EM → TEPOTZOTLAN,EM",142,24921,0.5698005698005698
1688,"NEZAHUALCOYOTL,EM → TEPOTZOTLAN,EM",284,24921,1.1396011396011396
1688,"TECAMAC,EM → IZTAPALAPA,DF",71,24921,0.2849002849002849
1688,"TEPEJI DEL RIO,HG → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"TEPOTZOTLAN,EM → TEPOTZOTLAN,EM",17750,24921,71.22507122507122
1688,"TLAHUAC,DF → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"TLALPAN,DF → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"TOLUCA,EM → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1688,"VENUSTIANO CARRANZ,CDMX → TEPOTZOTLAN,EM",3053,24921,12.250712250712251
1688,"ZUMPANGO,EM → TEPOTZOTLAN,EM",71,24921,0.2849002849002849
1689,"ATIZAPAN DE ZARAGO,EM → TEPOTZOTLAN,EM",160,28960,0.5524861878453039
1689,"CIUDAD DE MEXICO,CDMX → TEPOTZOTLAN,EM",400,28960,1.3812154696132597
1689,"CUAJIMALPA DE MORE,CDMX → TEPOTZOTLAN,EM",80,28960,0.27624309392265195
1689,"CUAUHTEMOC,DF → TEPOTZOTLAN,EM",240,28960,0.8287292817679558
1689,"CUAUTITLAN,EM → TEPOTZOTLAN,EM",80,28960,0.27624309392265195
1689,"DELEG.AZCAPOTZALCO,CDMX → TEPOTZOTLAN,EM",400,28960,1.3812154696132597
1689,"DELEG.AZCAPOTZALCO,DF → TEPOTZOTLAN,EM",80,28960,0.27624309392265195
